title,link,description,bloggername,bloggerlink,postdate
"송파코딩학원 기초코딩  파이썬 , C언어, 자바, 국비지원 및... ",https://blog.naver.com/wlsgh3507/223803919362,"대학교에 관련전공으로 입학하면 보통  파이썬 이나 C언어를 먼저 배우고 2학년1학기까지 자바를 마치는 것 같아요. 그래서 C언어, JAVA(자바), Python( 파이썬 ) 세가지의 언어를 마칩니다. 처음 코딩 입문시에 가장... ","THATZ WHAT I LIKE_내가 좋아하는, 삶",blog.naver.com/wlsgh3507,20250320
[ 파이썬 cospro문제_풀이]03. 구현_그리드_2d배열_시뮬레이션,https://blog.naver.com/therich21/223712664500,"테스트 Pythonic Coding  파이썬  답게 수정하기 1. 리스트 언패킹: 기존 코드: target = area[i]를 사용해 데이터를 가져오고 변수에 할당. Pythonic 코드: for from_r, from_c, to_r, to_c, color in area로 리스트... ",Coding & Math,blog.naver.com/therich21,20250102
[교육 프로그램]  파이썬  인공지능 &amp; R 데이터 학습... ,https://blog.naver.com/kirak/223790497650,R 데이터분석 I (기본) R 데이터분석 II (심화)  파이썬  데이터 분석 I (기본0  파이썬  데이터분석 II (심화)  파이썬  인공지능 I (기본)  파이썬  인공지능 II (심화) AI Work/Business 활용 I (기본) AI Work/Business... ,백기락 Best Biz IT AI Coach,blog.naver.com/kirak,20250310
 파이썬  퀵스타트,https://blog.naver.com/smallworking/223802829660,"또  파이썬  ㅋㅋ 1. 다양한 분야에 활용 가능하기에.. 데이터 분석(Pandas, NumPy, Matplotlib)이나 AI... ㅋㅋ 암튼 그렇게 3월 1일부터 시작한  파이썬  퀵스타트 내용을 정리해 본다. 결론부터  파이썬 의... ",소소한 작업실 (지대넓얕),blog.naver.com/smallworking,20250319
"' 파이썬 으로 배우는 통계학 교과서',  파이썬 과 통계학을... ",https://blog.naver.com/theparanbi/223708798100,"이번에 소개하는 바바 신야 저자의 ' 파이썬 으로 배우는 통계학 교과서'는 책 제목 그대로 교과서와 같이... 더군다나, 통계가 현재 수많은 프로그램으로 다뤄지고 있는 만큼,  파이썬  언어 기초부터 익혀가며 바로... ",더파란비 (theparanbi)의 블로그,blog.naver.com/theparanbi,20241229
"웹 스크레이핑 기술 알아야 한다, [ 파이썬 으로 웹 크롤러 만들기]",https://blog.naver.com/qorskawls12/223810582574,&quot;한빛미디어 서평단 &lt;나는리뷰어다&gt; 활동을 위해서 책을 협찬 받아 작성된 서평입니다.&quot;  파이썬 으로 웹 크롤러 만들기 구성 처음 이 책을 펼쳤을 때는 그냥  파이썬 으로 데이터를 긁어오는 방법만 간단히... ,Homo Viator,blog.naver.com/qorskawls12,20250326
GPT-4o with canvas(베타) 로 코딩이 조금더 편리해짐( 파이썬 ),https://blog.naver.com/sayment/223639254090,위 코딩은 공공API를 활용해보는  파이썬  코딩입니다. 그런데 말입니다. GPT가 코딩을 완벽하게 한번에 완성해주진 않아요 ㅠㅠ 계속적으로 에러가 나오고 수정하고 또 에러가 나오고 또 수정하고... ,클릭한김에 과학,blog.naver.com/sayment,20241030
광주 파이썬 학원 코딩의  파이썬  정복하기,https://blog.naver.com/dltjdgml1240/223812663491,오늘은 코딩 중에서도 가장 배우기 쉬운  파이썬 을 소개해 드리겠습니다.  파이썬  매우 인기 있는 고급 프로그래밍 언어로 읽기 쉽고 배우기 쉬운 문법을 가지고 있어 초보자에게도 적합한 언어이고 다양한... ,민중이아닌법을따르자,blog.naver.com/dltjdgml1240,20250328
[ 파이썬  로그#6] Built-In-Method(Feat.SET),https://blog.naver.com/mini_log-/223809571664,"안녕하세요:)  파이썬  로그#6번째 주제로  파이썬  로그#4,5에서 다뤘던 Built-In-Method 중에서 &quot;Set&quot;에서 사용할 수 있는 Built-In-Method(Feat.SET) 에 대해서 다뤄보겠습니다 ( 파이썬 ... ",미니로그,blog.naver.com/mini_log-,20250326
" 파이썬  가상환경 사용이유, 사용법",https://hyunssssss.tistory.com/430,● 파이썬  가상환경 - 프로젝트마다 독립적인  파이썬  환경을 만들 수 있게 해주는 도구 - 프로젝트마다 필요한 패키지와 버전을 격리하여 관리해서 다른 프로젝트와 충돌 없이 실행가능... ,현's 블로그,https://hyunssssss.tistory.com/,20250318
 파이썬  게임 프로젝트 소개 / 화성 동탄 오산 씨큐브코딩,https://blog.naver.com/c3dongtan/223804144159, 파이썬  게임 프로젝트 소개 '농구게임' 동탄 씨큐브코딩에 재원 중인 중학교 1학년 김O원 학생이 제작한 농구게임에 대해 소개해 드리겠습니다 김O원 학생은 씨큐브코딩 동탄센터에서  파이썬  게임 과정을... ,동탄코딩학원 씨큐브,blog.naver.com/c3dongtan,20250322
8.  파이썬 의 튜플 자료형,https://blog.naver.com/smj6701/223638855674,"코드 출처: 점프 투  파이썬  지난 포스팅에 이어  파이썬 의 또다른 집합 자료형인 튜플을 알아보자! 일단 보이는 것만 보면 리스트는 대괄호 [], 튜플은 소괄호 []를 쓴다(..)는 차이가 있다. 예시) t1... ",미주의 작업실,blog.naver.com/smj6701,20241030
[ 파이썬  시리즈] 2.1 변수와 기본적인 자료형,https://blog.naver.com/soi897/223714499138,이 게시물은  파이썬  3.9.0 기준 공식 문서를 참고하여 만들어졌습니다! &lt; 파이썬  공식 문서(3.9.0 기준)&gt; https://docs.python.org/release/3.9.0/ &quot; &quot; 오늘도 주피터 노트북을 들어가셔서 새로운 이름의 ipynb 파일을... ,Blog for Verilog HDL&RF Circuit Design,blog.naver.com/soi897,20250104
 파이썬 을 작업스케줄러로 실행 (컴퓨터 리부팅을 텔레그램으로... ,https://blog.naver.com/saintbell/223692521230,"그래서, 일단 리부팅되면 다시  파이썬  프로그램이 재시동될 수 있도록 조치를 하였습니다. a.... 리부팅시 리부팅 되었다는 메세지 발송으로 pc의 문제점을 확인하고, 원래 작동중이던  파이썬 ... ",Sam의 필리핀 Life ~,blog.naver.com/saintbell,20241213
그누보드6 with  파이썬 (python) 설치 후기,https://qhrtm.tistory.com/212,몇 개월전 그누보드 다음 버전은  파이썬 이 될 거라는 소문이 있었지만 실제 나올지 몰랐습니다.... 집 노트북은 리눅스고  파이썬 (3.8 이상 버전)이 이미 설치되어 있어 별 무리 없이 진행했습니다. 그리고... ,네 다리 소반위에 죽 한그릇,https://qhrtm.tistory.com/,20240120
[ 파이썬  시리즈] 1.2 주피터 노트북 인터페이스 이해하기: 셀... ,https://blog.naver.com/soi897/223711367729,"Code Cell:  파이썬  코드를 작성하고 실행할 수 있는 셀입니다. 실행 결과는 셀 아래 출력됩니다....  파이썬  커널 외에도 R, Julia, C++ 등 다양한 언어를 지원합니다. 커널이 활성화되어야 셀이 실행될 수... ",Blog for Verilog HDL&RF Circuit Design,blog.naver.com/soi897,20250101
"마이크로비트  파이썬 , Mu Editor에 대해 알아보자!",https://blog.naver.com/icbanq/223646384396,"안녕하세요 아이씨뱅큐입니다 :) 요즘은 초등학생도 블록 코딩뿐만 아니라  파이썬 을 학습하는 학교도 많아졌는데요. 마이크로비트는 블록코딩과  파이썬 을 전부 지원하기에, 초등학교... ",No.1 전자엔지니어 전문몰 아이씨뱅큐,blog.naver.com/icbanq,20241104
 파이썬 자격증 수업내용과 취득방법,https://blog.naver.com/ying61/223171962293,"오늘은 제가 왜  파이썬 자격증을 땄고 수업내용이 어땠는지, 취득방법에 대해 한 번 포스팅 해볼게요.  파이썬 자격증은 1) COS Pro, 2)  파이썬  마스터가 있었어요. 초보자가 따기엔 그나마 이게 쉽더라고요 ㅋ 물론... ",험한 세상의 다리가 되어,blog.naver.com/ying61,20230801
 파이썬 이 뭘까 ? 입문자들 주목★ 동성로 파이썬 학원,https://blog.naver.com/dawoo38/223816035737,오늘은  파이썬 에 대해 알려드리겠습니다.  파이썬   파이썬 은 컴퓨터 기본 언어중 하나인데요 프로그래밍 IT에는 코딩을 하는 과정이 있습니다. 코딩: 컴퓨터에게 명령을 내려 수행하게 만드는 과정 즉... ,Dong's Life,blog.naver.com/dawoo38,20250331
 파이썬  네트워크 프로그래밍 모듈 - ipaddress 모듈,https://zangwoo.tistory.com/356,출처 : 사물인터넷을 위한  파이썬  네트워크 프로그래밍  파이썬  네트워크 기본 모듈 이번 시간에는 IP 주소를  파이썬  프로그램으로 처리하는 방법을 알아본다. 인터넷에서는 호스트를... ,석사한 백수의 공부 블로그,https://zangwoo.tistory.com/,20240711
 파이썬  실시간 답변 프로그램 만들기,https://blog.naver.com/hma778/223662732118,안녕하세요~~ 오늘은  파이썬 의 멀티스레딩 기능을 활용해 실시간으로 사용자 입력을 받아 답변해주는 프로그램을 만들어볼까 해요.  파이썬  실시간 답변 프로그램 만들기를 통해 여러분은 스레드와 큐... ,하루 하나 코딩 하나 책 하나,blog.naver.com/hma778,20241116
책리뷰 :  파이썬  무작정 따라하기 코딩 기초 입문자를 위한 도서,https://blog.naver.com/mord/223609391621,"안녕하세요 :) 오늘 소개 해드릴 책은 코딩을 배우고 싶다면 현직교사가 알려주는 # 파이썬 기초코딩 입문책  파이썬  무작정 따라하기 입니다  파이썬  무작정 따라하기 저자 서승희,송석리 출판 길벗 발매 2021.12.20.... ",천리향기's 디지털노마드 :),blog.naver.com/mord,20241006
[ 파이썬  기초 강의] - 파이참 환경 설정 및 프로젝트 구성... ,https://esajin.kr/entry/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88-%EA%B0%95%EC%9D%98-%ED%8C%8C%EC%9D%B4%EC%B0%B8-%ED%99%98%EA%B2%BD-%EC%84%A4%EC%A0%95-%EB%B0%8F-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-%EA%B5%AC%EC%84%B1-005%EA%B0%95?category=733629,"목차 파이참 사용자 지정(Customize) 혹시, 한국어가 없다면 파이참 새 프로젝트 만들기 프로젝트 설정 프로젝트 확인 및 새 파일 생성  파이썬  코딩을 위한 새 파일 생성  파이썬  코딩 동작 확인 간단한 테스트... ",서관덕의 시간이 머문 작은 공간,https://esajin.kr/,20240922
"수원 파이썬 학원 AI,데이터분석,배우기",https://blog.naver.com/1shinae/223795698206,오늘은 IT 개발에 필수인  파이썬 에 대해 알아보겠습니다.  파이썬 은 개발자 진출이 아니더라도 이미 유명한 언어이죠! 활용성이 이미 좋으며 문자열 처리에 강점이 있는 코딩 언어입니다. 개발자로써... ,시내 BLOG,blog.naver.com/1shinae,20250314
 파이썬  - SQLAlchemy + oracledb 연동,https://blog.naver.com/techshare/223788526281,"지난 글에서 oracledb 연동을 설명했는데요,  파이썬  - oracledb 패키지 연동 시 Thin / Thick 모드 ; https://www.sysnet.pe.kr/2/0/13882 SQLAlchemy를 그 위에 얹고 싶다면... ",techshare,blog.naver.com/techshare,20250308
 파이썬  크롤링: 초보자도 쉽게 따라하는 웹 크롤링 기초,https://blog.naver.com/u40gbwho2g/223815988377, 파이썬  크롤링이라고 하면 뭔가 어려울 것 같은 느낌이 드는게 당연함. 하지만 이번... 지금부터  파이썬  크롤링의 세계로 함께 들어가보는건 어떨까요? 1. 웹 크롤링 기초 이해하기: 개념과 작동... ,느린뉴욕,blog.naver.com/u40gbwho2g,20250331
"12.  파이썬  기초 예제 (변수, 문자열)",https://blog.naver.com/smj6701/223653554501,그동안 공부한 내용들을 가지고  파이썬  예제들을 풀어보자!  파이썬  예제1) 1. 변수 name에 자신의 이름을 저장하고 출력하세요. 2. 두 개의 숫자를 변수에 저장하고 그 합을 출력하세요. 3. 문자열 &quot;Hello&quot;와... ,미주의 작업실,blog.naver.com/smj6701,20241109
"[독학] 점프투 파이썬 _1,2장",https://blog.naver.com/tobe311/223816409656, 파이썬  기초 문법을 한번 훑고 싶어서 창피하지만 기록한다. 조코딩 '최신  파이썬  코딩 무료 강의 | 2024 점프 투  파이썬 ' + 도서관에서 대출한 2017년 점프투 파이썬 ..ㅎㅎ Python3.11.2 01장.... ,"YES, TECH!",blog.naver.com/tobe311,20250331
 파이썬  게임 캐릭터 이동하기,https://blog.naver.com/nasu0210/223799134273,안녕하세요  파이썬 을 사용하여 게임을 만드는 것은 학생들에게 많은 학습적 영향을 제공하기도 하는데요. 우리는  파이썬  게임을 만들 때는 여러가지 문제를 해결해야 하는데요. 예를 들어... ,소놀코딩[개발자 실무교육 전문],blog.naver.com/nasu0210,20250317
"개발자 취업준비 순서정리 국비지원절차(C언어, 파이썬 )",https://blog.naver.com/wlsgh3507/223815872098,"따라서  파이썬 을 배우게 되면 코딩에 대한 흥미를 갖기 가장 좋다는 의견이 많고, 또 사무업무랑 접목시키는 것에도 좋다는 장점이 있습니다. 엑셀과  파이썬 을 통한 데이터 자동처리와 같은 작업을 할 수가... ","THATZ WHAT I LIKE_내가 좋아하는, 삶",blog.naver.com/wlsgh3507,20250331
쳇GPT로 업무자동화 엑셀대신  파이썬 으로 업무 자동화하기,https://blog.naver.com/it_gamemaker/223603535373,"#협찬 엑셀 대신  파이썬 으로 업무 자동화하기 엑셀로 자료 관리시 함수 복사도 여러번 해야 되고... 엑셀, 파워포인트 반복 작업이 지친다면  파이썬 으로 간편하게 프로그램에게 시키고 빠르게 업무... ",겜쟁이의 IT블로그,blog.naver.com/it_gamemaker,20241001
"코딩은 하고 싶어, 왕초보를 위한 챗GPT로 배우는  파이썬  도전기!",https://blog.naver.com/sicht/223695216252," 파이썬  코딩으로 디지털 시대를 준비하세요~ 코딩, 나이에 상관없이 시작할 수 있다! 요즘 블럭 코딩을... 나이는 많지만 코딩은 하고 싶어, 왕초보를 위한 챗GPT로 배우는  파이썬  도전기! 코딩을 영어처럼... ",디지털 엄마 | 슘채움,blog.naver.com/sicht,20241216
중간고사 성적산출표  파이썬 으로 만들기,https://blog.naver.com/hma778/223664701442,안녕하세요 오늘은  파이썬 을 활용해 학생들의 중간고사와 기말고사 성적을 통합하고 분석하는... 다양한 코드를 활용해 점수 산출 과정과 데이터를 처리하는 방식과 같은 중간고사 성적산출표  파이썬 으... ,하루 하나 코딩 하나 책 하나,blog.naver.com/hma778,20241118
 파이썬 을 활용한 공공데이터 분석 및 빅데이터 분석 방법론,https://blog.naver.com/ds2trw/223709235886,"빅데이터 시대,  파이썬 으로 공공데이터를 분석하는 방법과 주요 알고리즘 패킷  1. 공공데이터...  파이썬 (Python)은 간단한 문법과 강력한 라이브러리를 제공해 공공데이터 분석에 최적화된 도구로... ",강원클라우드,blog.naver.com/ds2trw,20241230
 파이썬 으로 배우는 통계학 교과서 2판 - 쉽고 자세한 통계학... ,https://blog.naver.com/haram4th/223704756236, 파이썬 으로 배우는 통계학 교과서 2판 - 쉽고 자세한 통계학 교과서의 정석 -  파이썬 으로 배우는 통계학 교과서 저자 바바 신야 출판 한빛미디어 발매 2024.11.29. 이번에 소개할 책은 &quot; 파이썬 으로 배우는 통계학... ,돌스의 맛있고 즐거운 여행,blog.naver.com/haram4th,20241225
7-1.  파이썬 의 리스트 자료형 (인덱싱),https://blog.naver.com/smj6701/223635292670,코드 출처: 점프 투  파이썬  지극히 초보자(...)적인 관점에서 느낀  파이썬 은 비교적 이해하기 쉬운 편이지만 대신 몇 가지 규칙(또는 불문율?!)이 있는 듯 하다. ㅋㅋ 그 예를 들어보자면.. 4칸 띄어쓰기... ,미주의 작업실,blog.naver.com/smj6701,20241027
 파이썬  두 수 비교하기,https://blog.naver.com/hma778/223672037366,"안녕하세요~  파이썬 은 간단하고 직관적인 문법 덕분에 두 수를 비교하는 작업을 쉽게 수행할 수 있습니다. 오늘 포스팅에서는 다양한 예제를 통해  파이썬  두 수 비교 방법을 알아보고,  파이썬  초보자들도 쉽게... ",하루 하나 코딩 하나 책 하나,blog.naver.com/hma778,20241125
네이버 길찾기 API 활용하기(feat. 파이썬 ),https://blog.naver.com/kiddwannabe/223588823911," 파이썬 으로 출발/도착 지점의 좌표를 입력 후, 거리와 소요시간을 검색하는 코드를...  파이썬 을 이용할 경우에는 위에서 주소와 headers 부분을 확인해서 정리하면 됩니다. 아래 제가... ",데이터공방,blog.naver.com/kiddwannabe,20240920
 파이썬 (python) 초보 40~50대... TIP_ 파이썬  기본개념을 정말... ,https://blog.naver.com/tyeop/223714294177," 파이썬 은 무엇?  파이썬 은 컴퓨터랑 대화하는 방법 컴퓨터에게 &quot;이렇게 해줘!&quot;라고 말할 때  파이썬 을 사용한다. 2.  파이썬 으로 할 수 있는 일은? 하나, 반복적인 일 대신 해주기 둘, 계산 빨리 하기 셋... ",두 권의 책 그리고 물류&SCM_Since 2012,blog.naver.com/tyeop,20250104
5. # 기호( 파이썬  주석) 및 응용 형태,https://blog.naver.com/smj6701/223617322515, 파이썬 을 처음 배우면 마주치는 문구 'Hello World' 약간 학습(...)이라기에는 너무 기초적인 듯 하면서도 점점 더 심도있는  파이썬  코딩을 진행하면 굉장히 빈번하게 쓰게 될 주석! 쉬어가면서 복기 차... ,미주의 작업실,blog.naver.com/smj6701,20241013
"자료구조_퀵정렬 설명( 파이썬 ), 작동방식, 알고리즘 등등..",https://blog.naver.com/7henry/223810384390,"퀵정렬 알고리즘은  파이썬 으로 구현할 수 있으며, &lt; &lt; &gt; 여기에 아래의 테스트 코드를 넣고 출력해주면... 이번 글은  파이썬  코드로 퀵정렬에 대해 알아보았는데 C, JAVA로도 가능하다. 실제 시험에서는 C, JAVA로... ",행복하게 살아요,blog.naver.com/7henry,20250326
[서평] 혼자 만들면서 공부하는  파이썬 ,https://blog.naver.com/fbfbf1/223813428433,&quot;한빛미디어 서평단 &lt;나는리뷰어다&gt; 활동을 위해서 책을 협찬 받아 작성된 서평입니다.&quot; 안녕하세요 이번에 서평 해볼 책은 한빛미디어의 '혼자 만들면서 공부하는  파이썬 '입니다. 책 앞면과 뒷면에서 알... ,류리상자,blog.naver.com/fbfbf1,20250328
"일잘러의 비밀, 엑셀 대신  파이썬 으로 업무 자동화하기",https://blog.naver.com/phytoncide___/223635845081,"처음  파이썬 을 배우는 사람도 쉽게 학습하여 실무에 사용할 수 있도록 구성되어 있다. 엑셀 대신  파이썬 으로 업무 자동화하기, 이 책은 엑셀의 단점을 보완하고 업무(사무)를 자동화하기에 적합한  파이썬 ... ",녹여내는 것이 좋아서,blog.naver.com/phytoncide___,20241027
 파이썬  시작해보기 (가상환경),https://blog.naver.com/dodokth/223814040189,노트북에  파이썬 을 설치했다면 한번 시작해 보겠습니다. 코딩을 위한 편집기 사용하기 편집기를... 뭐냐 넌  파이썬 은 여러가지 패키지들을 사용할 수 있는데요. 단 하나의 프로젝트라면 상관이 없지만... ,소소한 나의 일상,blog.naver.com/dodokth,20250330
부천 자바· 파이썬  학원에서 AI 시대로 시작하는 IT 커리어를... ,https://blog.naver.com/lmwu123/223689827456,"잡았고,  파이썬 (Python)은 데이터 분석, AI, 머신러닝 등 첨단 기술 분야에서 가장 많이 쓰이는 언어로 각광받고 있습니다. 부천 자바· 파이썬  학원인 우리컴퓨터아카데미학원에서 이런 변화에 발맞춰 실질적인... ","쉼표, 느낌표",blog.naver.com/lmwu123,20241211
"강남 파이썬 학원 AI, 크롤링, 데이터분석 및 시각화 기본기",https://blog.naver.com/rrewazxc/223792059756,"특히 여기에 있어서는 Python( 파이썬 )이라는 언어가 기반 언어로 많이 사용되고 있습니다.  파이썬 은 개발을 모르는사람도 알정도로 유명하고, 프로그래밍을 시작할때 가장 좋은 언어라고 하죠? 그만큼 쉽고... ","시원한 파랑_""시작하시죠, 파란만장한 컴퓨터 인생""",blog.naver.com/rrewazxc,20250311
혼자만들면서 공부하는  파이썬  서평,https://blog.naver.com/chacha_bitna/223811197810,"생기면서  파이썬 (Python)을 제대로 다뤄보고 싶다는 생각이 들었습니다.  파이썬 의 기본적인 문법은 알고 있었지만, 그 이상으로 무언가 직접 만들어 보고 싶다는 욕심이 생겼습니다. 그런 고민을 하던 중... ",차차의 벤쿠버따라잡기,blog.naver.com/chacha_bitna,20250327
 파이썬   심화과정 수업,https://blog.naver.com/robohaeundae/223784564489,부산코딩학원 # 파이썬  #진로체험 #엑스로보월드로봇챔피언십 #창원전국지능로봇경진대회 #진로체험기관 #IRO국제로봇올림피아드 #엑스로봇배틀 #프로보 #프로보테그닉 #과학실험 #영재과학 #태그아웃... ,로봇과학영재학원(051)781-1222,blog.naver.com/robohaeundae,20250305
[ 파이썬  기초 강의] -  파이썬 (Python)설치 및 파이참... ,https://esajin.kr/entry/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88-%EA%B0%95%EC%9D%98-%ED%8C%8C%EC%9D%B4%EC%8D%ACPython%EC%84%A4%EC%B9%98-%EB%B0%8F-%ED%8C%8C%EC%9D%B4%EC%B0%B8PyCharm-%EC%84%A4%EC%B9%98-004%EA%B0%95?category=733629,목차  파이썬 (Python) 다운로드 및 설치  파이썬  다운로드  파이썬  설치 과정  파이썬  설치 확인 PyCham Community 다운로드 및 설치 PyCham Community 다운로드 PyCham Community 설치 파이참 실행 화면 댓글 쓰기 http... ,서관덕의 시간이 머문 작은 공간,https://esajin.kr/,20240921
빅분기 실기 대비 교재: 이기적 빅데이터분석기사 실기  파이썬 ... ,https://blog.naver.com/7henry/223814080809,교재 앞부분에는  파이썬  데이터 타입과 자료형부터 numpy 배열과 벡터 등등 데이터 분석을 위해 필요한...  파이썬  함수에 대한 내용도 잘 정리 돼 있다. 그리고 데이터 전처리에서 국밥으로 쓰이는 바로... ,행복하게 살아요,blog.naver.com/7henry,20250329
프로그래밍 언어 첫 단계: 스크래치 vs  파이썬  선택 가이드,https://blog.naver.com/icbanq/223700223865,스크래치와  파이썬 이 떠오르시죠 많이 비교되는 스크래치와  파이썬 ‼ 두 언어에 대해 살펴보면서 아이들의 코딩 공부에 적합한 언어를 선택할 수 있는 가이드를 함께 알아보겠습니다 아두이노와... ,No.1 전자엔지니어 전문몰 아이씨뱅큐,blog.naver.com/icbanq,20241220
 파이썬  기초 어떻게 시작해야할까? 정답은 ITUP,https://blog.naver.com/kacnet/223631531631, 파이썬  기초 어떻게 시작해야할까? 정답은 ITUP 안녕하세요! 고려아카데미컨설팅입니다! 요즘들어 IT... 그래서 오늘은 여러분께 ITUP(잇업)이라는 교육기관에서 제공하는 ‘ 파이썬  처음이어도 괜찮아! 올인원... ,고려아카데미컨설팅 기업HRD * ITUP (잇업),blog.naver.com/kacnet,20241024
 파이썬  인공지능 &amp; R 데이터 관련 과정 코칭 프로그램,https://blog.naver.com/kirak/223767339653,----------------------------  파이썬  인공지능 과정의 3월 오프모임 일정이 확정되었습니다. 1 Day... 안내  파이썬  기반 인공지능 입문 과정 및 데이터분석준전문가(ADsP) 에 대한 코치 과정을 진행합니다.... ,백기락 Best Biz IT AI Coach,blog.naver.com/kirak,20250220
[디랩목동]  파이썬  드론 코딩대회 준비반 모집  ✨,https://blog.naver.com/dlabmokdong/223813072941,"다가오는 2025 WCRC (World Creative Robot Contest) 본선을 앞두고, 저희 디랩에서는 드론을 활용한  파이썬 ... 디랩의 드론 코딩 수업은 단순한 비행 조작을 넘어서  파이썬  기반의 자율 비행 프로그래밍을 직접... ",디랩코딩목동캠퍼스,blog.naver.com/dlabmokdong,20250328
DAY.019_ 파이썬 : 데이터 분석,https://blog.naver.com/geologenie/223725730685, 파이썬 으로 데이터 분석하기&amp; 시각화 하기 오후 두 시. 실업급여 얼른 신청하고 오려고 강의를 들으며... { ∞∞∞∞∞ }  파이썬 : 데이터 분석 ◆ 학습내용 _  파이썬 을 활용한 데이터 다듬기 _ 데이터 분석하기... ,뚜벅이의 지질여행,blog.naver.com/geologenie,20250114
 파이썬  책 추천 : 독학을 할 때 선택하기 좋은 서적,https://blog.naver.com/urmyver/223569538048," 파이썬  책 추천 독학을 할 때 선택하기 좋은 서적 프로그래밍 언어 중 하나인  파이썬 은 다른 프로그래밍 언어에 비해 코드 길이가 짧고, 외부 라이브러리의 설치가 매우 간편하며, 성능과 안정성이 매우... ",주들의 그리 대단하진 않지만 굉장한 이야기,blog.naver.com/urmyver,20240902
" 파이썬  터틀 입문 : pen, window 설정 함수 다루기",https://blog.naver.com/toi300/223810294401," 파이썬  터틀 게임 : pen, window 설정 함수 다루기 안녕하세요. 토이쌤입니다. 2024년 EBS이솦 크리에이터 강의 1위로 선정된  파이썬  터틀 활용한 그래픽 게임개발 입문을 연재 합니다. 오늘은... ",TOI300와 함께 코드런!,blog.naver.com/toi300,20250326
 파이썬  터틀 입문 : 거북이 글자쓰기 함수 다루기,https://blog.naver.com/toi300/223810325171, 파이썬  터틀 입문 : 거북이 글자쓰기 함수 다루기 안녕하세요. 토이쌤입니다. 2024년 EBS이솦 크리에이터 강의 1위로 선정된  파이썬  터틀 활용한 그래픽 게임개발 입문을 연재 합니다. 오늘은... ,TOI300와 함께 코드런!,blog.naver.com/toi300,20250326
 파이썬  문법 간단 정리,https://hyunssssss.tistory.com/428,AI관련 라이브러리는 거의  파이썬  기반으로 개발되고 있습니다. 그래서  파이썬  문법을 알아야합니다. 타 개발 언어와 다른  파이썬 만의 특징만 몇가지 정리해보았습니다.... ,현's 블로그,https://hyunssssss.tistory.com/,20250312
46. [독학  파이썬 ] 1/5,https://blog.naver.com/kimws4e/223714530828,' 독학  파이썬  저자 야마다 요시히로 출판 정보문화사 발매 2024.12.20. 1991년에 제작된 인터프리터ㅡ프로그래밍 언어의 소스코드를 바로 실행하는 컴퓨터 프로그램이나 환경ㅡ프로그래밍 언어인  파이썬 은... ,"검이와 이슬이의 헌책방, Zéfəːr",blog.naver.com/kimws4e,20250104
13.  파이썬  f 문자열 포맷팅 (f-string),https://blog.naver.com/smj6701/223653615629,오늘의 예시는 내가 좋아하는 니니즈로 ㅋㅋㅋㅋ 이번 포스팅에서는  파이썬 의 f 문자열 포맷팅 (f-string) 에 대해 조금 더 공부해보자! f-string 은 문자열 자료형 앞에 f를 붙이기만 하면 일일이 데이터를... ,미주의 작업실,blog.naver.com/smj6701,20241110
Windows 버전의  파이썬 에서 함께 설치되는 py.exe,https://blog.naver.com/techshare/223672711759,"org에서 설치한  파이썬  버전에 한해 함께 설치가 되는데요, 다양하게 설치할 수 있는  파이썬  버전을 편리하게 전환할 수 있는 방법을 제공합니다. // 설치된... ",techshare,blog.naver.com/techshare,20241125
 파이썬 전문가 자격증 종류 상세한 취득방법!,https://blog.naver.com/iclick62/223561717401,"# 파이썬 자격증  파이썬 전문가 자격증 종류 상세한 취득방법! 안녕하세요! IT의 밝은 전망에 따라 해당 직종에 관심을 가지는 분들이 많을 텐데요! 다만, 비전공자의 입장에서 공부를 시작하려 해도 Python, C, JAVA... ",연리지(連理枝),blog.naver.com/iclick62,20240826
 파이썬 강의 독학으로 마스터하자! (+설치방법과 활용안까지),https://blog.naver.com/skyktc/223791819863,"여러분  파이썬 에 대해 알고 계시나요? 요새는 컴퓨터공학과가 아니어도, 대학교 교양수업으로  파이썬 을 배운다고 하는데요. 그게 아니어도 ' 파이썬 '이라는 이름은 어디선가 한 번쯤은 들어본 적 있지... ",스마트동스쿨 공식블로그,blog.naver.com/skyktc,20250311
 파이썬  AI 챗봇 만들기: 기본 개념부터 활용까지,https://blog.naver.com/autocoder/223811029942,이번 시간에는  파이썬  AI 챗봇 만들기에 대해 알아보겠습니다. AI 챗봇이란? AI 챗봇은 인공지능(AI)을...  파이썬 으로 AI 챗봇을 만드는 이유  파이썬 (Python)은 AI 개발에 널리 사용되는 프로그래밍 언어입니다.... ,오토코더,blog.naver.com/autocoder,20250327
( 파이썬  자동화) 첫 자동화 크롤링 프로그램,https://blog.naver.com/currybread0/223662742599, 파이썬  관련 강의와 책도 몇권을 사서 읽었는데 조금 느즈막하게 진행되는 것 같아서 조금 안타까운... 인프런에서 자바 중급까지의 강의를 사놨고 중급까지는 잘 익혀놓고 또 돌아와서  파이썬  자동화를 더... ,찰나의 실행과 독서 그리고 성장,blog.naver.com/currybread0,20241116
